run,rq,domain,backbone,objective,alpha,alpha_mode,answer_weight_multiplier,train_cap,eval_cap,headline_metric,headline,mc_acc,rouge_l,bleu,relaxed_acc,anls,vqa_accuracy,exact_match
rq2_blip2_contrastive_scienceqa,RQ2,science,BLIP-2 OPT-2.7B,contrastive_enhanced,,fixed,1.0,2000,200,MC accuracy,0.48,0.48,,,,,,
rq2_blip2_generative_scienceqa,RQ2,science,BLIP-2 OPT-2.7B,generative,,fixed,1.0,2000,200,MC accuracy,0.475,0.475,,,,,,
rq3_qwen2vl_explanation_aware_aokvqa,RQ3/RQ4,commonsense,Qwen2-VL-2B,explanation_aware_alpha_0.5,,fixed,1.0,2000,200,MC accuracy,0.795,0.795,0.337,0.0873,,,,
rq4_qwen2vl_explanation_aware_chartqa,RQ4/RQ7,charts,Qwen2-VL-2B,answer_only_fallback,,fixed,1.0,2000,200,relaxed accuracy,0.655,,,,0.655,,,0.41
rq4_qwen2vl_explanation_aware_docvqa,RQ4/RQ7,documents,Qwen2-VL-2B,answer_only_fallback,,fixed,1.0,2000,200,ANLS,0.9052,,,,,0.9052,,0.855
rq4_qwen2vl_explanation_aware_vqav2,RQ4/RQ7,natural,Qwen2-VL-2B,answer_only_fallback,,fixed,1.0,900,100,VQA accuracy,0.73,,,,,,0.73,0.73
rq3_qwen2vl_length_aware_aokvqa,RQ3,commonsense,Qwen2-VL-2B,explanation_aware_length_aware,,length_aware,1.0,2000,200,MC accuracy,0.79,0.79,0.3299,0.0829,,,,
rq3_qwen2vl_length_aware_scienceqa,RQ3,science,Qwen2-VL-2B,explanation_aware_length_aware,,length_aware,1.0,2000,200,MC accuracy,0.78,0.78,0.6961,0.5633,,,,
rq3_qwen2vl_answer_only_aokvqa,RQ3/RQ7,commonsense,Qwen2-VL-2B,answer_only,,fixed,1.0,2000,200,MC accuracy,0.83,0.83,,,,,,
rq3_qwen2vl_answer_only_scienceqa,RQ3/RQ7,science,Qwen2-VL-2B,answer_only,,fixed,1.0,2000,200,MC accuracy,0.8,0.8,,,,,,
rq2_qwen2vl_generative_aokvqa,RQ2/RQ3,commonsense,Qwen2-VL-2B,rationale_generative,,fixed,1.0,2000,200,MC accuracy,0.79,0.79,0.329,0.0828,,,,
rq2_qwen2vl_generative_scienceqa,RQ2/RQ3,science,Qwen2-VL-2B,rationale_generative,,fixed,1.0,2000,200,MC accuracy,0.78,0.78,0.6934,0.5588,,,,
rq6_qwen2vl_7b_explanation_aware_scienceqa,RQ6,science,Qwen2-VL-7B,explanation_aware_alpha_0.5,,fixed,1.0,2000,200,MC accuracy,0.885,0.885,0.7378,0.6368,,,,
rq3_alpha_000,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_0,0.0,fixed,1.0,2000,200,MC accuracy,0.725,0.725,0.417,0.299,,,,
rq3_alpha_010,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_0.1,0.1,fixed,1.0,2000,200,MC accuracy,0.78,0.78,0.6945,0.5663,,,,
rq3_alpha_025,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_0.25,0.25,fixed,1.0,2000,200,MC accuracy,0.775,0.775,0.6863,0.5479,,,,
rq3_alpha_050,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_0.5,0.5,fixed,1.0,2000,200,MC accuracy,0.765,0.765,0.643,0.4926,,,,
rq3_alpha_075,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_0.75,0.75,fixed,1.0,2000,200,MC accuracy,0.69,0.69,0.6043,0.4429,,,,
rq3_alpha_100,RQ3,science,Qwen2-VL-2B,explanation_aware_alpha_1,1.0,fixed,1.0,2000,200,MC accuracy,0.695,0.695,,,,,,
